id;street;location;city;country
1;O'Kon Canyon;oof lighthearted rationale;Irving;Colombia
2;Citlalli Camp;um gadzooks;West Jovan;Monaco
3;Hessel Overpass;gut troubled while;Ilenefort;Chad
4;Toby Divide;unrealistic excluding;Stokesside;Greenland
5;Oberbrunner Flats;unbearably yearly;South Deion;Nicaragua
6;Nigel Villages;geez;East Maurice;Central African Republic
7;Geo Prairie;daffodil through sizzling;West Craigfort;New Caledonia
8;St Andrews Close;into bray finally;Meriden;Japan
9;Altenwerth Canyon;cleverly;North Lysanne;Holy See (Vatican City State)
10;Samir Fall;locomotive depressurise exactly;Tacoma;Afghanistan
