id;partner_reference;the_date;the_version;partner_token
1;slide over;eel mysteriously;who;behind sans overconfidently
2;qua till amid;precious sore;round athwart incidentally;anti so mature
3;phooey pain brr;important inaugurate;without lawn gap;opposite even
4;adorable;snowplow aha;barracks likewise serenade;meanwhile fooey past
5;incompatible while nearly;process;drama loyally pencil;scrawny furiously aw
6;aged beyond roof;genre atop midst;pace foolishly;above revenue recent
7;rigidly lymphocyte betoken;profit usefully;along recent;er while thirst
8;merrily chicken blah;when next;old-fashioned athwart individual;market acidly
9;oh;phew swath;blah;hollow
10;misspend;point intensely brr;qua;swish disembark
