id;partner_reference;the_date;the_version;partner_token
1;when defiantly unless;lumberman provided;trade confused lament;guilt chaff kilt
2;mmm finally now;respire golden questioningly;broadly;stable
3;unless;pfft energetically;rehouse thermostat;rise a inhale
4;shadowy justly bunkhouse;thumb why;mollycoddle ultimately considering;chunder
5;between briefing disengagement;upbeat;and;trim fixed
6;demarcate energetically;innocent yowza;as yuck;hearsay frankly
7;um;shoe ha frankly;observation instead malnutrition;station ouch between
8;regarding;yippee that;than instead;accidentally instead likewise
9;whimsical less so;uh-huh waggle;antique plus;indeed opposite left
10;comportment bikini;absolve poach;bushwhack indeed whose;that rewarding bronze
