id;partner_reference;the_date;the_version
1;faff;highway;past up smoothly
2;for athwart;scuttle midst;revolving
3;geez;indeed down however;so miscast
4;cart;dehumanise uh-huh container;astride huzzah
5;um scarcely whose;simple accidentally mmm;except of
6;pailful unaccountably;gosh;inquisitively inasmuch
7;yearningly drive seriously;passionate incidentally;landmine revitalize
8;quietly between;who;whenever cough
9;immediately;modulo enormously;impersonate the
10;tee willfully;clearing comfortable;aw
