id;partner_reference;the_date;the_version;partner_token;licence_id;status;payment_method;delivery_method
1;jovial eclipse now;eek;knowingly vapid;unless though beyond;antigen;true;Swipe;ICEcash
2;er;publishing;wonderfully though grounded;next;too rash;true;Mobile;MasterorVisa
3;monitoring;penny understatement;kooky;for volcano;aver gosh;true;Cash;Cash
4;supposing;evil formal whoa;between berth once;um honeybee;minus unwritten;false;Mobile;Airtime
5;past;gee;unexpectedly dearly who;drat tantalise who;luck guffaw furthermore;false;StopOrder;EcoCash
6;though above;psychiatrist joint;although queasy foolishly;peaceful helpfully;whoa since uh-huh;true;Mobile;Netone
7;flash ew via;while diligent;lone supposing;boil;shirtdress yahoo given;true;Mobile;Netone
8;aha beneath hm;unsightly;narrate;what wherever hasten;without yowza eek;true;StopOrder;Netone
9;uncomfortable from;regarding;whether usually triumphantly;ick huzzah nautical;sick lest thoughtful;false;StopOrder;ICEcash
10;contingency;bough psst jealous;deeply buffer strong;raffle;excitedly;true;StopOrder;Zimswitch
