id;partner_reference;the_date;the_version;partner_token;licence_id;jhi_function
1;superb round whoever;phew bowl consequently;mmm inasmuch sudden;impartial once;exchange selfishly who;zowie regularise
2;finally pfft jaggedly;near;gee;conventional yahoo sans;living provided;deter
3;temp nearly;hilarious ruddy what;after physically;pro once deliberately;versus pajamas why;burgle
4;instead;provided;seriously;unnecessarily zowie distinct;but;astonishing painfully
5;upon;zowie sneaker through;aboard gadzooks;incidentally foolishly;gadzooks from ah;whoever independent which
6;thoroughly;whereas;conventional;until;towards likewise;frightfully doze underneath
7;steady exciting inborn;indeed since scull;stonewall onto per;dilute;if;dimly than
8;rural giggle;disclaimer swat;ack that;helplessly clock beneath;official inside;worth befriend
9;yuck deafening;ew;per haircut;bustle;punctually before woot;through
10;supposing better;constant searchingly;remarry;likewise utter;dimly even paragraph;site absentmindedly though
