id;name;description;code;risk_code;screen_code;data_model_code
1;invigorate psst;cousin refill;unify henc;aw hence;enormously whoa;fatherly
2;panic;per larch everlasting;seemingly ;digital ack that;whether almost for;tedious who kaleidoscopic
3;profitable pain physically;attachedXX;colorfully;alongside including railroad;monthly hm over;proper
4;letter until;disgusting retouching acrobatic;spurn wate;aw;nor how;mechanically
5;cruelly;eyeglasses;via unless;sarong madly victoriously;absent xerox;inhale fatally
6;ha;sunglasses yahoo gee;ew;inasmuch likewise;blah outgoing;fluster inter
7;but;uh-huhXXXX;geez;investigator;whoa briskly;julienne
8;for frost;sacrifice noxious slope;solidly;beef pave;but;bequeath mat indeed
9;so;beside into enchanted;through;judgementally;gadzooks;hmph vestment former
10;truthfully flourish;accomplishment qua scallion;meh;once whoever;uncurl;whenever unloosen around
