id;name;description;value;effective_date;last_date;admin_access
1;knowledgeably composition;trusting provided;over strong;2024-10-29;2024-10-29;false
2;disincentivise;ah geez;mock scary fooey;2024-10-29;2024-10-29;true
3;innocently consecrate;ill-fated thoughtfully highball;noisily;2024-10-30;2024-10-30;true
4;drizzle;rasp yahoo;lively;2024-10-29;2024-10-29;false
5;until abaft;amid;syndicate;2024-10-29;2024-10-30;true
6;creamy bleak er;reasonable silky rigidly;jaggedly bravely vitality;2024-10-29;2024-10-29;false
7;polymerise;monthly surrounds;versus trash dial;2024-10-29;2024-10-29;true
8;attentive;soggy incidentally till;decisive;2024-10-29;2024-10-30;true
9;now until beside;wound wicked likewise;till powerful;2024-10-29;2024-10-30;false
10;but that;woot;gadzooks optimistically;2024-10-30;2024-10-30;false
