id;partner_reference;the_date;the_version;partner_token;jhi_function
1;a5ce1cf5-da0f-4bd3-b478-ccfedcf2ea0b;bamboo;mouth although;simplistic;undulate painfully
2;fc80bb1c-84ca-4470-abd5-7ec74150934a;because who till;ghost though remorseful;which;hmph
3;40875fe5-6711-4b02-8f2a-ce970b9c0f74;highly macrofauna neighbour;swim near;buffet because news;expire and
4;c5f332c1-d769-4126-9156-9cc06d425255;oof ick a;lest endear;till storyboard museum;protect tragic
5;df5fe663-db06-4ce9-a7c8-428be5fd8563;boohoo;oof whose gah;authorized;object
6;df0f7792-92f3-4e17-ac57-269f156db421;vibrissae;whenever aw uh-huh;injury outside;oof
7;ff51ac41-6114-433c-85dd-eb822f379ef9;lopsided yuck dibble;brother-in-law zowie where;appropriate;smoggy
8;deaba9b1-0939-4fc9-b619-6cffb9645e6c;provided closure;hm towards damp;throughout;so upright generation
9;dfe3d3e9-f1e6-4317-9c5d-e29e7305bd26;hungry woodwind;hungrily accidentally pish;numismatist whenever;duh motionless enrich
10;612f1a56-8caa-4763-9aef-65293e4ba8af;lifetime afore sweetly;noisily unless blindly;where makeup;dimly nervously down
