id;policy_ref;cover_start_date;cover_end_date;premium;pay_type;bus_type;ext_status;trans_status;sync_status;currency
1;yuckXX;2024-10-29;2024-10-29;13933.13;Cash;MTA;ACTIVE;ACTIVE;COMPLETED;USD
2;gosh about cow;2024-10-29;2024-10-30;26477.35;Swipe;MTA;FRESH;ACTIVE;FRESH;ZAR
3;proof-reader aw;2024-10-30;2024-10-30;24373.47;Mobile;MTA;CANCELLED;COMPLETED;FRESH;ZAR
4;difficult fraud necessary;2024-10-29;2024-10-29;29290.6;StopOrder;NEW;DELETED;ACTIVE;DELETED;ZWG
5;fantasy cheery;2024-10-29;2024-10-30;23824.04;Swipe;MTC;CANCELLED;DELETED;CANCELLED;GWP
6;trigger aha;2024-10-30;2024-10-30;6920.67;Swipe;MTC;CANCELLED;COMPLETED;COMPLETED;ZAR
7;likewise across;2024-10-30;2024-10-29;13496.69;Mobile;RENEWAL;DELETED;FRESH;ACTIVE;GWP
8;leafy lest broadly;2024-10-30;2024-10-29;15809.66;StopOrder;RENEWAL;FRESH;CANCELLED;FRESH;USD
9;squint while;2024-10-30;2024-10-30;20211.25;Cash;MTA;PENDING;FRESH;DELETED;GWP
10;accidentally;2024-10-30;2024-10-29;15875.34;Mobile;MTA;PENDING;FRESH;ACTIVE;GWP
